date,B1,B2,B3,B4,S1,S2,S3,S4,I1,I2,I3,I4
2014-01-03,-0.022747882429566095,-0.017562158208771498,-0.008568112526252636,-0.012009335105378775,0.0028091829103637613,-0.00026692595488390144,0.003289827316614085,-0.0075128655692433205,-0.03393113199026061,0.002304678952939958,0.0009191964110686602,0.005126867706491872
2014-01-10,0.009690146804178524,0.008378353719123818,0.019125249723595198,0.023324257450063626,0.01983130128269329,0.0037178665196822176,0.018431865028940755,0.010400138258696479,0.01570028568386892,-0.006612024640067889,0.015403614906034927,0.012368050369762748
2014-01-17,0.0006966671254079162,0.0023011553429128436,-0.010855968089261637,0.005784067074199332,0.0009089820529689673,-0.024786009370981476,-0.015052427665449206,0.003650500724441074,0.0013144842585557143,-0.004366179353893802,0.00097354828689803,0.00412243063214624
2014-01-24,-0.018324609095518245,-0.006294502293367026,-0.006043268019066213,-0.011845049927441618,0.0053441005554386144,-0.01552755807726702,-0.016657594922764193,0.011329253974214679,-0.02395280864709139,-0.020036116351031988,-0.012965326064013086,-0.0002106092300100342
2014-01-31,-0.0015023871249078677,-0.022350139308067722,-0.015668024431778605,-0.017706835218568674,-0.007303762522179761,-0.004049722467497092,-0.016906198565520225,-0.010048490590179395,-0.009444714764724617,-0.038837912067604514,-0.00994578968119452,-0.018279237077034678
2014-02-07,-0.00520503924620007,-0.0007889188291204522,-0.021674147097534728,-0.0012200643408739828,-0.005947503156128371,-0.026773672445632966,-0.00494413777697701,-0.01194789844708834,-0.006718292134446209,-0.007170912595341192,-0.0007227946118396134,-0.034832962188506685
2014-02-14,0.00045603091937054124,0.001493234487035016,-0.005271322025370044,0.00365163591837332,-0.0008797886961219071,-0.007980699091271559,-0.03408235781677832,0.0016538181234076405,-0.005220275844589837,-0.006415994331044259,-0.009934368127623466,-0.0006680818713236626
2014-02-21,-0.003497192894667006,-0.0049524800853019265,0.005486548013476013,0.031320961157271496,-0.012464382551638004,0.0015194645658730276,0.05183363009316538,-0.017167582887125346,-0.0031156033578035943,0.004104268473629098,-0.017080783609743536,-0.001226605158523212
2014-02-28,0.016290635953502074,0.0005201956539877465,0.00212427553660427,0.0012963143236387332,0.004670347277996619,0.009420953617628701,0.017991642344902387,-0.010520178487037818,-0.006981904261220425,0.0019896849008537196,0.008616677575702343,-0.0008136272132136855
2014-03-07,0.020163547962767835,0.033771468792595655,0.01852452650847438,0.029730134622294884,0.004184356573851061,0.01458862829691147,0.00721190002939171,0.03882104762700707,0.0219828507974498,0.01574288511413481,0.011128580998041331,0.00753295181296414
2014-03-14,-0.02155094368002479,0.02096320302279533,0.008288728810509778,-0.016383978561686233,0.00035125781446673543,0.00789405072511817,-0.004615803518659523,0.009722948198565187,-0.005670372452024654,0.0017457752281951615,-0.006175428600201309,-0.01172443978849262
2014-03-21,-0.006368169235576733,-0.012194205078959113,-0.0057306327845502505,-0.0021779606313317174,0.019986974252669206,0.034354843502220456,0.020481039664367755,0.03084067017134528,0.01418134754418798,0.03298664496380999,0.002480776467916293,0.02249531756092384
